date,price,return,energy,state,regime,raw_signal,action,invested,position,cash,total_value,stop_triggered,strategy_return
2008-02-27,99.2659912109375,-0.0010115043066865,1.7969695747193348e-05,1,1,SELL,SELL,False,0,105201.87981414792,105201.87981414792,False,-0.0010107436240824885
2008-02-28,98.2964324951172,-0.0097672798507599,2.1761300913171294e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-02-29,96.10599517822266,-0.0222839960850393,4.505899034394683e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-03,95.87619018554688,-0.0023911618858909,3.5827538909556894e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-04,95.50990295410156,-0.0038204191336393,1.6352099382768943e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-05,96.11322021484376,0.0063168032013614,2.1488050676953334e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-06,94.1238784790039,-0.0206978991172392,2.8058472342924896e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-07,93.15432739257812,-0.0103007982893741,1.9359685926051315e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-10,91.92623901367188,-0.0131833744419702,1.9093847416070395e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-11,95.2298355102539,0.035937470433123,0.00011775929824164658,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-12,94.3393096923828,-0.0093513321019567,8.486498598760262e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-13,94.5475845336914,0.0022077206414561,3.908845030999911e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-14,93.0824737548828,-0.0154960149012216,5.241013901610577e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-17,92.1417007446289,-0.0101068758951472,4.149956685444999e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
2008-03-18,95.96955871582033,0.0415431660177441,8.45361416699818e-05,1,1,SELL,HOLD,False,0,105201.87981414792,105201.87981414792,False,0.0
